Datetime,AAPL,GOOG,MSFT
2025-02-07 15:38:00+00:00,230.63999938964844,188.00999450683594,413.5364990234375
2025-02-07 15:39:00+00:00,230.3699951171875,187.9199981689453,412.7583923339844
2025-02-07 15:40:00+00:00,230.56500244140625,188.17970275878906,413.0199890136719
2025-02-07 15:41:00+00:00,230.52499389648438,188.1699981689453,413.0668029785156
2025-02-07 15:42:00+00:00,230.47000122070312,187.99000549316406,412.8500061035156
2025-02-07 15:43:00+00:00,230.44009399414062,188.125,412.92999267578125
2025-02-07 15:44:00+00:00,230.40499877929688,188.16000366210938,412.7799987792969
2025-02-07 15:45:00+00:00,230.34500122070312,188.22000122070312,412.6400146484375
2025-02-07 15:46:00+00:00,230.47999572753906,188.4499969482422,412.9200134277344
2025-02-07 15:47:00+00:00,230.7100067138672,188.41000366210938,413.1400146484375
2025-02-07 15:48:00+00:00,230.75,188.4199981689453,413.06500244140625
2025-02-07 15:49:00+00:00,230.91839599609375,188.625,413.0350036621094
2025-02-07 15:50:00+00:00,230.9600067138672,188.4499969482422,413.1300048828125
2025-02-07 15:51:00+00:00,230.98500061035156,188.35000610351562,413.1499938964844
2025-02-07 15:52:00+00:00,231.19500732421875,188.4949951171875,413.1400146484375
2025-02-07 15:53:00+00:00,229.61000061035156,187.3249969482422,411.07000732421875
2025-02-07 15:54:00+00:00,229.4550018310547,187.14219665527344,411.04998779296875
2025-02-07 15:55:00+00:00,230.1300048828125,187.60000610351562,411.7550048828125
2025-02-07 15:56:00+00:00,230.05999755859375,187.5,411.62750244140625
2025-02-07 15:57:00+00:00,230.14999389648438,187.75999450683594,411.7650146484375
2025-02-07 15:58:00+00:00,230.27000427246094,187.89999389648438,411.80999755859375
2025-02-07 15:59:00+00:00,230.52999877929688,187.92999267578125,412.1199951171875
2025-02-07 16:00:00+00:00,230.32000732421875,187.73500061035156,412.0400085449219
2025-02-07 16:01:00+00:00,230.01910400390625,187.6595001220703,411.63751220703125
2025-02-07 16:02:00+00:00,229.5500030517578,187.49000549316406,411.55499267578125
2025-02-07 16:03:00+00:00,229.25,187.44000244140625,411.4754943847656
2025-02-07 16:04:00+00:00,229.16000366210938,187.3699951171875,411.57000732421875
2025-02-07 16:05:00+00:00,229.08999633789062,187.42999267578125,411.2560119628906
2025-02-07 16:06:00+00:00,229.48500061035156,187.96800231933594,411.80999755859375
2025-02-07 16:07:00+00:00,229.55499267578125,187.99000549316406,411.7149963378906
2025-02-07 16:08:00+00:00,229.51499938964844,188.1199951171875,411.7699890136719
2025-02-07 16:09:00+00:00,230.00790405273438,188.05999755859375,411.8800048828125
2025-02-07 16:10:00+00:00,229.69500732421875,187.92999267578125,411.8599853515625
2025-02-07 16:11:00+00:00,229.8000030517578,187.85000610351562,411.7099914550781
2025-02-07 16:12:00+00:00,229.75999450683594,187.88999938964844,411.9100036621094
2025-02-07 16:13:00+00:00,229.30999755859375,187.6497039794922,411.44000244140625
2025-02-07 16:14:00+00:00,229.04010009765625,187.53500366210938,411.0199890136719
2025-02-07 16:15:00+00:00,229.0850067138672,187.360107421875,410.95001220703125
2025-02-07 16:16:00+00:00,229.3300018310547,187.64500427246094,411.3349914550781
2025-02-07 16:17:00+00:00,229.3800048828125,187.75,411.54998779296875
2025-02-07 16:18:00+00:00,229.66000366210938,187.7899932861328,411.5
2025-02-07 16:19:00+00:00,229.77000427246094,187.82000732421875,411.8659973144531
2025-02-07 16:20:00+00:00,229.8800048828125,187.8300018310547,411.9800109863281
2025-02-07 16:21:00+00:00,229.7899932861328,187.89999389648438,411.96240234375
2025-02-07 16:22:00+00:00,229.32000732421875,187.50999450683594,411.57000732421875
2025-02-07 16:23:00+00:00,229.57000732421875,187.69500732421875,412.0
2025-02-07 16:24:00+00:00,229.3699951171875,187.7100067138672,411.739990234375
2025-02-07 16:25:00+00:00,229.30999755859375,187.72500610351562,412.1199951171875
2025-02-07 16:26:00+00:00,229.1199951171875,187.5399932861328,411.6400146484375
2025-02-07 16:27:00+00:00,229.02999877929688,187.49000549316406,411.44500732421875
2025-02-07 16:28:00+00:00,229.10000610351562,187.41000366210938,411.3800048828125
2025-02-07 16:29:00+00:00,229.05499267578125,187.31619262695312,411.3399963378906
2025-02-07 16:30:00+00:00,229.11399841308594,187.30999755859375,411.45819091796875
2025-02-07 16:31:00+00:00,229.23919677734375,187.26499938964844,411.4700012207031
2025-02-07 16:32:00+00:00,229.02999877929688,187.0800018310547,411.29998779296875
2025-02-07 16:33:00+00:00,229.07000732421875,187.04849243164062,411.4200134277344
2025-02-07 16:34:00+00:00,229.24000549316406,186.9499969482422,411.4700012207031
2025-02-07 16:35:00+00:00,229.0511016845703,186.69000244140625,411.05999755859375
2025-02-07 16:36:00+00:00,229.13999938964844,186.6757049560547,411.010009765625
2025-02-07 16:37:00+00:00,229.19000244140625,186.5749969482422,411.0199890136719
2025-02-07 16:38:00+00:00,229.1199951171875,186.58999633789062,411.0
2025-02-07 16:39:00+00:00,229.13999938964844,186.6300048828125,411.114501953125
2025-02-07 16:40:00+00:00,229.17999267578125,186.8699951171875,411.42999267578125
2025-02-07 16:41:00+00:00,229.11000061035156,186.8343048095703,411.4107971191406
2025-02-07 16:42:00+00:00,229.01499938964844,186.7050018310547,411.1099853515625
2025-02-07 16:43:00+00:00,229.0399932861328,186.8000030517578,411.0199890136719
2025-02-07 16:44:00+00:00,229.02999877929688,186.80999755859375,411.0299987792969
2025-02-07 16:45:00+00:00,228.97000122070312,186.83999633789062,411.0
2025-02-07 16:46:00+00:00,228.58009338378906,186.61090087890625,410.70001220703125
2025-02-07 16:47:00+00:00,228.9199981689453,186.82000732421875,410.9100036621094
2025-02-07 16:48:00+00:00,229.02000427246094,186.7899932861328,410.9949951171875
2025-02-07 16:49:00+00:00,228.94500732421875,186.75999450683594,410.9977111816406
2025-02-07 16:50:00+00:00,229.10989379882812,186.72500610351562,410.8835144042969
2025-02-07 16:51:00+00:00,228.88999938964844,186.35000610351562,410.6368103027344
2025-02-07 16:52:00+00:00,228.7050018310547,186.4033966064453,410.3699951171875
2025-02-07 16:53:00+00:00,228.968994140625,186.46189880371094,410.45001220703125
2025-02-07 16:54:00+00:00,228.97999572753906,186.5800018310547,410.4649963378906
2025-02-07 16:55:00+00:00,228.91000366210938,186.6199951171875,410.614990234375
2025-02-07 16:56:00+00:00,229.00999450683594,186.69000244140625,410.635009765625
2025-02-07 16:57:00+00:00,229.02999877929688,186.6999969482422,410.7601013183594
2025-02-07 16:58:00+00:00,229.16000366210938,186.54490661621094,410.7300109863281
2025-02-07 16:59:00+00:00,229.02999877929688,186.44000244140625,410.5950012207031
2025-02-07 17:00:00+00:00,229.06500244140625,186.23370361328125,410.39990234375
2025-02-07 17:01:00+00:00,228.97000122070312,186.16000366210938,410.2950134277344
2025-02-07 17:02:00+00:00,229.0500030517578,186.11000061035156,410.4151916503906
2025-02-07 17:03:00+00:00,228.9199981689453,185.89999389648438,410.2200012207031
2025-02-07 17:04:00+00:00,228.92999267578125,185.97999572753906,410.2799987792969
2025-02-07 17:05:00+00:00,229.02960205078125,185.94500732421875,410.50738525390625
2025-02-07 17:06:00+00:00,229.16000366210938,185.89999389648438,410.69000244140625
2025-02-07 17:07:00+00:00,228.9600067138672,186.0800018310547,410.77850341796875
2025-02-07 17:08:00+00:00,229.2050018310547,186.52000427246094,410.7699890136719
2025-02-07 17:09:00+00:00,229.10009765625,186.36000061035156,410.67999267578125
2025-02-07 17:10:00+00:00,228.90499877929688,186.2899932861328,410.5199890136719
2025-02-07 17:11:00+00:00,229.07000732421875,186.3699951171875,410.7200012207031
2025-02-07 17:12:00+00:00,229.2899932861328,186.41000366210938,411.0299987792969
2025-02-07 17:13:00+00:00,229.22999572753906,186.41000366210938,411.1000061035156
2025-02-07 17:14:00+00:00,229.2501983642578,186.43099975585938,411.19000244140625
2025-02-07 17:15:00+00:00,229.05999755859375,186.28500366210938,410.7650146484375
2025-02-07 17:16:00+00:00,229.1999969482422,186.17039489746094,410.79998779296875
2025-02-07 17:17:00+00:00,228.9550018310547,185.8699951171875,410.3949890136719
2025-02-07 17:18:00+00:00,228.83999633789062,185.64999389648438,410.2200012207031
2025-02-07 17:19:00+00:00,228.94119262695312,185.50999450683594,410.1499938964844
2025-02-07 17:20:00+00:00,229.00999450683594,185.51499938964844,410.04998779296875
2025-02-07 17:21:00+00:00,229.19000244140625,185.6074981689453,410.1210021972656
2025-02-07 17:22:00+00:00,228.77999877929688,185.40919494628906,409.78118896484375
2025-02-07 17:23:00+00:00,228.64999389648438,185.41000366210938,409.7650146484375
2025-02-07 17:24:00+00:00,228.61990356445312,185.4803009033203,409.7099914550781
2025-02-07 17:25:00+00:00,228.5,185.5200958251953,409.69989013671875
2025-02-07 17:26:00+00:00,228.48500061035156,185.3800048828125,409.7749938964844
2025-02-07 17:27:00+00:00,228.24000549316406,185.22500610351562,409.79998779296875
